wh_id,longitude,latitude,cost
160001,-71.98,-13.516666666666667,1
160003,-71.88388888888889,-13.544166666666667,205550
160005,-71.98305555555555,-13.525277777777779,155100
160008,-72.14583333333334,-13.46361111111111,188500
160010,-72.06194444444444,-13.475833333333334,198900
160011,-72.23166666666667,-13.628055555555555,155100
160015,-72.11166666666666,-13.47888888888889,220000
160018,-71.89833333333334,-13.385833333333332,205550
160019,-71.92027777777778,-13.364166666666666,198200
160020,-72.04333333333334,-13.103333333333333,220000
160021,-71.85027777777778,-13.420833333333333,220000
160024,-72.11444444444444,-13.305555555555557,138000
160025,-72.05166666666666,-13.395555555555555,143000
160029,-72.26361111111112,-13.258611111111112,178800
